close,volume,sma_50,ema_20,ema_50,rsi_14,macd,macd_signal,macd_histogram,bb_width,volatility_20d,close_lag_1,close_lag_5,volume_lag_1,rsi_signal,macd_signal_cross,target_direction,momentum,trend_strength,price_change,target_return_1d,volatility_ratio
0.093256429,175884800,0.101632208,0.097900628,0.098188195,67.42468834474872,-0.000409475,-8.19e-05,-0.00032758,0.422635365,0.011225133,0.098389491,0.098389491,469033600.0,0,-1,0,-0.005133061999999994,-0.00028756700000000246,-0.005133061999999994,-0.052170836009305055,
0.08641164,105728000,0.101632208,0.096806439,0.097726369,67.42468834474872,-0.001271646,-0.000319845,-0.0009518,0.422635365,0.011225133,0.093256429,0.098389491,175884800.0,0,-1,0,-0.011977850999999998,-0.0009199299999999994,-0.006844789000000004,-0.07339750270729328,
0.088550359,86441600,0.101632208,0.096020146,0.097366526,67.42468834474872,-0.001762033,-0.000608283,-0.001153751,0.422635365,0.011225133,0.08641164,0.098389491,105728000.0,0,-1,1,-0.009839132,-0.0013463799999999942,0.0021387189999999973,0.02475035770643852,
0.091117635,73449600,0.101632208,0.09555324,0.097121471,67.42468834474872,-0.001921363,-0.000870899,-0.001050464,0.422635365,0.011225133,0.088550359,0.098389491,86441600.0,0,-1,1,-0.007271855999999993,-0.0015682310000000033,0.0025672760000000072,0.028992270940426224,
0.096678473,48630400,0.101632208,0.095660405,0.097104099,67.42468834474872,-0.001580699,-0.001012859,-0.00056784,0.422635365,0.011225133,0.091117635,0.098389491,73449600.0,0,-1,1,-0.0017110179999999947,-0.0014436939999999954,0.0055608379999999985,0.061029217889599474,1.0
0.101383738,37363200,0.101632208,0.096205484,0.097271928,67.42468834474872,-0.000920434,-0.000994374,7.393963857879647e-05,0.422635365,0.011225133,0.096678473,0.093256429,48630400.0,0,1,1,0.008127309,-0.0010664439999999997,0.004705265,0.048669210983504074,1.0
0.1056620627641677,46950400,0.101632208,0.097106111,0.097600953,67.42468834474872,-5.14e-05,-0.00080577,0.000754417,0.422635365,0.011225133,0.101383738,0.08641164,37363200.0,0,1,1,0.019250422764167704,-0.0004948420000000092,0.004278324764167701,0.04219931962034873,1.0
0.1112228259444236,48003200,0.101632208,0.09845056,0.098135144,67.42468834474872,0.00107373,-0.00042987,0.0015036,0.422635365,0.011225133,0.1056620627641677,0.088550359,46950400.0,0,1,1,0.02267246694442361,0.0003154160000000128,0.005560763180255904,0.05262781205272549,1.0
0.1214897409081459,55574400,0.101632208,0.1006447676137728,0.09905101,67.42468834474872,0.002761983,0.000208501,0.002553482,0.422635365,0.011225133,0.1112228259444236,0.091117635,48003200.0,0,1,1,0.030372105908145902,0.0015937576137728116,0.010266914963722298,0.0923094236865778,1.0
0.1232007145881652,93161600,0.101632208,0.1027929530399054,0.099998057,67.42468834474872,0.0041897,0.001004741,0.003184959,0.422635365,0.011225133,0.1214897409081459,0.096678473,55574400.0,0,1,1,0.0265222415881652,0.0027948960399054035,0.0017109736800192954,0.014083277050635168,1.0
